id,brand_name,brief,price,product_url,image_url
1,U.S. Polo Assn.,Men's Classic Polo Shirt,22.93,https://www.amazon.com/U-S-Polo-Assn-Classic-Engine/dp/B005LCMQJA/ref=sr_1_1,https://m.media-amazon.com/images/I/71-DNw1eDaL._AC_UL320_.jpg
2,GAP,Men's Stretch Pique Polo Shirt,14.0,https://www.amazon.com/GAP-Stretch-Pique-Shirt-Lavender/dp/B0CCBR8MPT/ref=sr_1_2,https://m.media-amazon.com/images/I/71lTyCuoLIL._AC_UL320_.jpg
3,TELALEO,4/5 Pack Mens Polo Shirts Quick Dry Short Sleeve Golf T Shirt Performance Moisture Wicking Casual Workout,45.99,https://www.amazon.com/TELALEO-Performance-Moisture-Wicking-Workout/dp/B0B1TK5BZZ/ref=sr_1_3,https://m.media-amazon.com/images/I/71UIENuQxXL._AC_UL320_.jpg
4,Nautica,Men's Short Sleeve Solid Stretch Cotton Pique Polo Shirt,25.06,https://www.amazon.com/Nautica-Sleeve-Stretch-Cotton-Medium/dp/B07BN4BV3X/ref=sr_1_4,https://m.media-amazon.com/images/I/81aa86xBj+L._AC_UL320_.jpg
5,Under Armour,Men's Tech Golf Polo,26.0,https://www.amazon.com/Under-Armour-White-Graphite-Large/dp/B01GH5GSLG/ref=sr_1_5,https://m.media-amazon.com/images/I/71uXpzMg5PL._AC_UL320_.jpg
6,Hanes,"Mens Cool Dri Polo Shirt, Quick-Drying Performance Polo For Men, 40+ Upf Protection",12.67,https://www.amazon.com/Hanes-Sport-Performance-Graphite-Large/dp/B010C7M1BQ/ref=sr_1_6,https://m.media-amazon.com/images/I/71gA0QSSUdL._AC_UL320_.jpg
7,Nautica,Men's Solid Deck Shirt,27.99,https://www.amazon.com/Nautica-Classic-Sleeve-Burgundy-Medium/dp/B07HRK78BV/ref=sr_1_7,https://m.media-amazon.com/images/I/81cpwPVgP4L._AC_UL320_.jpg
8,Jerzees,"Men's Short Sleeve Polo Shirts, SpotShield Stain Resistant, Sizes S-5x",11.0,https://www.amazon.com/Jerzees-Mens-SpotShield-Button-Shirt_XL_J/dp/B075LT1KY1/ref=sr_1_8,https://m.media-amazon.com/images/I/610PoLqIKhL._AC_UL320_.jpg
9,MLYENX,4/5 Pack Mens Polo Shirts Short Sleeve Quick Dry Moisture Wicking Casual Golf T Shirts for Men,53.99,https://www.amazon.com/MLYENX-Quick-Dry-Athletic-Moisture-Wicking/dp/B0B59BJG6Y/ref=sr_1_9,https://m.media-amazon.com/images/I/81It7K5hB4L._AC_UL320_.jpg
10,BALENNZ,Golf Polos for Men Quick-Dry Athletic Mens Polo Shirts Short Sleeve Summer Casual Moisture Wicking Golf Shirt,46.99,https://www.amazon.com/BALENNZ-Quick-Dry-Athletic-Moisture-Wicking/dp/B09RV38GNB/ref=sr_1_10,https://m.media-amazon.com/images/I/91ln0LAgDXL._AC_UL320_.jpg
11,Hanes,"Men’s X-Temp Short Sleeve Polo Shirt, Midweight Men's Shirt",15.0,https://www.amazon.com/Hanes-Sleeve-X-Temp-FreshIQ-Medium/dp/B06WD91FBL/ref=sr_1_11,https://m.media-amazon.com/images/I/61Y0K9K7IYL._AC_UL320_.jpg
12,MAGCOMSEN,Men's Polo Shirt Quick Dry Performance Short Sleeve Tactical Shirts Pique Jersey Golf Shirt,24.98,https://www.amazon.com/MAGCOMSEN-Sleeve-Jersey-Military-Shirts/dp/B07TF72BMC/ref=sr_1_12,https://m.media-amazon.com/images/I/71gSvqwiwIL._AC_UL320_.jpg
13,Tommy Hilfiger,Men's Short Sleeve Cotton Pique Flag Graphic Polo Shirt in Custom Fit,38.72,https://www.amazon.com/Tommy-Hilfiger-Pride-Shirt-Custom/dp/B08PW6HDXK/ref=sr_1_13,https://m.media-amazon.com/images/I/81MWv7+9vXL._AC_UL320_.jpg
14,COOFANDY,Men's Knit Polo Shirts Short Sleeve Striped Polo Shirt Fashion Casual Golf Shirts,29.99,https://www.amazon.com/COOFANDY-Sleeve-Shirts-Vintage-Knitted/dp/B0CL6J75VK/ref=sr_1_14,https://m.media-amazon.com/images/I/71MGwvKDvEL._AC_UL320_.jpg
15,ZITY,Mens Polo Shirt Short Sleeve Sports Tactical T-Shirt Athletic Golf Polos Daily Casual Stylish Collared Shirts for Men,25.99,https://www.amazon.com/ZITY-Sleeve-Sports-T-Shirt-Navy-XL/dp/B09NLZ9NWG/ref=sr_1_15,https://m.media-amazon.com/images/I/511VVJS7cdS._AC_UL320_.jpg
16,SOLY HUX,Men's Golf Polo Shirts Short Sleeve Collar Tennis Shirt Color Block Striped Work T-Shirt,19.99,https://www.amazon.com/SOLY-HUX-Striped-T-Shirt-X-Large/dp/B0CRQTG5HB/ref=sr_1_16,https://m.media-amazon.com/images/I/71rtYwnuM3L._AC_UL320_.jpg
17,Hanes,"Men's FreshIQ Polo Shirt, Men’s X-Temp Polo Shirt, Moisture-Wicking Performance Polo Shirt",11.2,https://www.amazon.com/Hanes-X-Temp-Performance-Black-Large/dp/B0132MFEA8/ref=sr_1_17,https://m.media-amazon.com/images/I/71NsgBErjQL._AC_UL320_.jpg
18,Dickies,Men's Big Short-Sleeve Pique Polo Shirt,12.59,https://www.amazon.com/Dickies-Short-Sleeve-Pique-3X/dp/B004NNBZ9A/ref=sr_1_18,https://m.media-amazon.com/images/I/71keV0Vd0ML._AC_UL320_.jpg
19,OYGSieg,6 Pack Mens Polo Shirts Performance Short Sleeve Golf Shirt Moisture Wicking Athletic Casual Collared T-Shirt,48.99,https://www.amazon.com/OYGSieg-Performance-Moisture-Athletic-Collared/dp/B0CFQ278M9/ref=sr_1_19,https://m.media-amazon.com/images/I/81g3EihZ2UL._AC_UL320_.jpg
20,Nautica,Men's Short Sleeve Color Block Performance Pique Polo Shirt,26.69,https://www.amazon.com/Nautica-Short-Sleeve-Performance-X-Large/dp/B07HRFSNHQ/ref=sr_1_20,https://m.media-amazon.com/images/I/91Qy7nnILlL._AC_UL320_.jpg
21,IZOD,Men's Advantage Performance Short Sleeve Polo Shirt,18.99,https://www.amazon.com/IZOD-Advantage-Performance-Radiance-X-Large/dp/B086XGP8JX/ref=sr_1_21,https://m.media-amazon.com/images/I/71Yx+D91IrL._AC_UL320_.jpg
22,Tommy Hilfiger,Men's Short Sleeve Cotton Pique Polo Shirt in Classic Fit,31.01,https://www.amazon.com/Tommy-Hilfiger-Classic-Heather-X-Large/dp/B071HBZYWW/ref=sr_1_22,https://m.media-amazon.com/images/I/81Yu0ipeGOL._AC_UL320_.jpg
23,Tommy Hilfiger,Men's Short Sleeve Moisture Wicking Stretch Polo Shirt with Quick Dry + UV Protection,32.25,https://www.amazon.com/Tommy-Hilfiger-Short-Sleeve-Customs-fit/dp/B09RSTKW9K/ref=sr_1_23,https://m.media-amazon.com/images/I/515IVfeS2wL._AC_UL320_.jpg
24,Kenneth Cole REACTION,Dress Polo Shirts for Men 3 Pack - Slim Fit Mens Polo Shirts Short Sleeve - UPF 50+ Golf Polos for Men,49.99,https://www.amazon.com/Kenneth-Cole-REACTION-Dress-Shirts/dp/B0CS173WBJ/ref=sr_1_24,https://m.media-amazon.com/images/I/61VVo0-JJlL._AC_UL320_.jpg
25,Amazon Essentials,Men's Slim-Fit Quick-Dry Golf Polo Shirt,19.0,https://www.amazon.com/Amazon-Essentials-Slim-fit-Quick-Dry-Shirt-DNU/dp/B096YQRNP3/ref=sr_1_25,https://m.media-amazon.com/images/I/816l8PzNMZL._AC_UL320_.jpg
